id,start_x,start_y,start_theta,start_k,goal_x,goal_y,goal_theta,goal_k,baseline_success,baseline_time,baseline_params,baseline_steps,proposed_success,proposed_time,proposed_params,proposed_steps
22,0.0,0.0,0.0,0.0,1.0,0.0,0.5235987755982987,0.5,True,0.07882094383239746,"-10.232461923285484,34.235698849350044,-23.183543358027517,1.0265837857417615",42,True,0.03513836860656738,"-0.41914562232660496,1.5912071949189492,0.025925536564194662",38
23,0.0,0.0,0.0,0.0,1.0,0.0,1.0471975511965974,0.5,True,0.07463645935058594,"-17.850072905939353,55.63601572010915,-35.12732822866954,1.118061844180975",47,True,0.04158735275268555,"-0.7426480752864609,3.054254220257973,0.11123970638111126",45
24,0.0,0.0,0.0,0.0,1.0,0.0,1.5707963267948966,0.5,True,0.12866735458374023,"-19.54048499852635,53.7402270825166,-29.79987763996059,1.2814902727670046",48,True,0.09118509292602539,"-0.8640184738234962,3.9475430793290545,0.2483158141525903",49
25,0.0,0.0,0.0,0.0,1.0,0.0,2.094395102393195,0.5,True,0.14703941345214844,"-16.889847804352975,39.662209179990334,-18.607242299685485,1.5243555789980208",53,True,0.10385918617248535,"-0.7832939662220643,4.267276366218712,0.42127895926191616",52
26,0.0,0.0,0.0,0.0,1.0,0.0,2.617993877991494,0.5,True,0.18425703048706055,"-12.753825961228317,25.467626739682363,-10.006995019049493,1.835601906892284",62,True,0.10990524291992188,"-0.563797713728088,4.194659079955004,0.6057379446420765",54
27,0.0,0.0,0.0,0.0,1.0,0.0,-3.141592653589793,0.5,True,0.19242215156555176,"8.008855797298615,-13.115123374000884,4.127709322021763,2.3845921564704513",70,True,0.1162724494934082,"0.15631459946071377,-3.8339596936671247,0.8670338412968593",56
28,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,True,0.08570241928100586,"2.971255340761549,-11.876002284933708,9.889077132555,1.0007806937044648",45,True,0.02449178695678711,"0.03462710255471043,-0.3464388092678574,0.0006401181704897875",26
29,0.0,0.0,0.0,0.0,1.0,0.0,0.5235987755982987,1.0,True,0.05938005447387695,"-8.91599475391534,29.128260410664126,-19.02647286922658,1.0229997227734449",47,True,0.03343319892883301,"-0.4018474933348941,1.4109066311807839,0.022089471696975962",36
30,0.0,0.0,0.0,0.0,1.0,0.0,1.0471975511965974,1.0,True,0.08385944366455078,"-16.89880259076491,52.47421421391823,-32.8537723890001,1.1086403147238992",49,True,0.04069852828979492,"-0.7349980334682416,2.9011941245388844,0.10235933709042311",44
31,0.0,0.0,0.0,0.0,1.0,0.0,1.5707963267948966,1.0,True,0.10642719268798828,"-19.095657905215376,52.793184958263225,-29.333507864844655,1.2630775780037011",50,True,0.08769845962524414,"-0.8707228896020471,3.8365007689360784,0.23301737837090974",48
32,0.0,0.0,0.0,0.0,1.0,0.0,2.094395102393195,1.0,True,0.11701202392578125,"-16.928572065353404,40.33069210394545,-19.145278293645593,1.4891175096420273",51,True,0.10108113288879395,"-0.8074752466964367,4.208957550186935,0.39817679853157023",51
33,0.0,0.0,0.0,0.0,1.0,0.0,2.617993877991494,1.0,True,0.14170408248901367,"-13.081133136927889,26.68932157905318,-10.692150519564846,1.7784141615204971",59,True,0.1088252067565918,"-0.604899970932247,4.18921222636677,0.574326379606083",53
